attribute,level_key,level_label,id,context,title,summary,bullet_1,bullet_2
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_09,vendor coordination,Vendor Coordination Project,Used generative AI to streamline drafting and review steps in a vendor coordination project.,Used generative AI to speed up first-pass review of vendor comparison notes before final manual checks.,Reduced repetitive drafting time and delivered procurement status summaries more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_10,appointment scheduling,Appointment Scheduling Project,Used generative AI to streamline drafting and review steps in a appointment scheduling project.,Used generative AI to speed up first-pass review of client scheduling requests before final manual checks.,Reduced repetitive drafting time and delivered calendar coordination updates more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_11,billing review,Billing Review Project,Used generative AI to streamline drafting and review steps in a billing review project.,Used generative AI to speed up first-pass review of billing exception records before final manual checks.,Reduced repetitive drafting time and delivered payment follow-up summaries more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_12,quality tracking,Quality Tracking Project,Used generative AI to streamline drafting and review steps in a quality tracking project.,Used generative AI to speed up first-pass review of quality review comments before final manual checks.,Reduced repetitive drafting time and delivered issue tracking summaries more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_13,training support,Training Support Project,Used generative AI to streamline drafting and review steps in a training support project.,Used generative AI to speed up first-pass review of training feedback forms before final manual checks.,Reduced repetitive drafting time and delivered session recap notes more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_14,document review,Document Review Project,Used generative AI to streamline drafting and review steps in a document review project.,Used generative AI to speed up first-pass review of repetitive document comparison tasks before final manual checks.,Reduced repetitive drafting time and delivered version control checklists more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_15,social media reporting,Social Media Reporting Project,Used generative AI to streamline drafting and review steps in a social media reporting project.,Used generative AI to speed up first-pass review of engagement data exports before final manual checks.,Reduced repetitive drafting time and delivered weekly content performance summaries more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_16,market research,Market Research Project,Used generative AI to streamline drafting and review steps in a market research project.,Used generative AI to speed up first-pass review of competitor pricing notes before final manual checks.,Reduced repetitive drafting time and delivered comparison tables for staff meetings more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_17,logistics coordination,Logistics Coordination Project,Used generative AI to streamline drafting and review steps in a logistics coordination project.,Used generative AI to speed up first-pass review of shipment status updates before final manual checks.,Reduced repetitive drafting time and delivered daily fulfillment summaries more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_18,client onboarding,Client Onboarding Project,Used generative AI to streamline drafting and review steps in a client onboarding project.,Used generative AI to speed up first-pass review of new client intake forms before final manual checks.,Reduced repetitive drafting time and delivered onboarding status trackers more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_19,event planning,Event Planning Project,Used generative AI to streamline drafting and review steps in a event planning project.,Used generative AI to speed up first-pass review of registration and attendance records before final manual checks.,Reduced repetitive drafting time and delivered post-event recap summaries more efficiently.
AI-related experience,gen_ai_workflow_efficiency,Used generative AI in a project to improve workflow efficiency,ai_20,compliance support,Compliance Support Project,Used generative AI to streamline drafting and review steps in a compliance support project.,Used generative AI to speed up first-pass review of policy review checklists before final manual checks.,Reduced repetitive drafting time and delivered compliance tracking summaries more efficiently.
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_01,customer feedback review,Independent Customer Feedback Review Automation Project,Designed an independent automation workflow to support customer feedback review tasks.,Built a small automation workflow that standardized customer feedback comments and routed outputs into weekly reporting summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_02,sales reporting,Independent Sales Reporting Automation Project,Designed an independent automation workflow to support sales reporting tasks.,Built a small automation workflow that standardized monthly sales records and routed outputs into summary dashboards for managers.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_03,inventory tracking,Independent Inventory Tracking Automation Project,Designed an independent automation workflow to support inventory tracking tasks.,Built a small automation workflow that standardized inventory reconciliation tasks and routed outputs into stock exception summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_04,marketing analysis,Independent Marketing Analysis Automation Project,Designed an independent automation workflow to support marketing analysis tasks.,Built a small automation workflow that standardized campaign performance notes and routed outputs into recurring campaign reports.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_05,recruiting support,Independent Recruiting Support Automation Project,Designed an independent automation workflow to support recruiting support tasks.,Built a small automation workflow that standardized candidate screening notes and routed outputs into interview scheduling updates.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_06,budget reconciliation,Independent Budget Reconciliation Automation Project,Designed an independent automation workflow to support budget reconciliation tasks.,Built a small automation workflow that standardized expense entries from multiple teams and routed outputs into monthly budget summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_07,operations reporting,Independent Operations Reporting Automation Project,Designed an independent automation workflow to support operations reporting tasks.,Built a small automation workflow that standardized service request logs and routed outputs into operations status updates.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_08,survey analysis,Independent Survey Analysis Automation Project,Designed an independent automation workflow to support survey analysis tasks.,Built a small automation workflow that standardized survey response files and routed outputs into summary tables for presentations.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_09,vendor coordination,Independent Vendor Coordination Automation Project,Designed an independent automation workflow to support vendor coordination tasks.,Built a small automation workflow that standardized vendor comparison notes and routed outputs into procurement status summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_10,appointment scheduling,Independent Appointment Scheduling Automation Project,Designed an independent automation workflow to support appointment scheduling tasks.,Built a small automation workflow that standardized client scheduling requests and routed outputs into calendar coordination updates.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_11,billing review,Independent Billing Review Automation Project,Designed an independent automation workflow to support billing review tasks.,Built a small automation workflow that standardized billing exception records and routed outputs into payment follow-up summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_12,quality tracking,Independent Quality Tracking Automation Project,Designed an independent automation workflow to support quality tracking tasks.,Built a small automation workflow that standardized quality review comments and routed outputs into issue tracking summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_13,training support,Independent Training Support Automation Project,Designed an independent automation workflow to support training support tasks.,Built a small automation workflow that standardized training feedback forms and routed outputs into session recap notes.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_14,document review,Independent Document Review Automation Project,Designed an independent automation workflow to support document review tasks.,Built a small automation workflow that standardized repetitive document comparison tasks and routed outputs into version control checklists.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_15,social media reporting,Independent Social Media Reporting Automation Project,Designed an independent automation workflow to support social media reporting tasks.,Built a small automation workflow that standardized engagement data exports and routed outputs into weekly content performance summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_16,market research,Independent Market Research Automation Project,Designed an independent automation workflow to support market research tasks.,Built a small automation workflow that standardized competitor pricing notes and routed outputs into comparison tables for staff meetings.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_17,logistics coordination,Independent Logistics Coordination Automation Project,Designed an independent automation workflow to support logistics coordination tasks.,Built a small automation workflow that standardized shipment status updates and routed outputs into daily fulfillment summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_18,client onboarding,Independent Client Onboarding Automation Project,Designed an independent automation workflow to support client onboarding tasks.,Built a small automation workflow that standardized new client intake forms and routed outputs into onboarding status trackers.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_19,event planning,Independent Event Planning Automation Project,Designed an independent automation workflow to support event planning tasks.,Built a small automation workflow that standardized registration and attendance records and routed outputs into post-event recap summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,independent_ai_automation_project,Independently completed an AI automation project,ai_20,compliance support,Independent Compliance Support Automation Project,Designed an independent automation workflow to support compliance support tasks.,Built a small automation workflow that standardized policy review checklists and routed outputs into compliance tracking summaries.,"Tested the workflow on sample files, documented exceptions, and refined prompts and logic independently."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_01,customer feedback review,Introductory Machine Learning,Completed formal coursework covering AI methods with an applied assignment related to customer feedback review.,Completed assignments on core AI or machine learning concepts and discussed applications to customer feedback review.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_02,sales reporting,Applied Artificial Intelligence,Completed formal coursework covering AI methods with an applied assignment related to sales reporting.,Completed assignments on core AI or machine learning concepts and discussed applications to sales reporting.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_03,inventory tracking,Data Mining and Predictive Analytics,Completed formal coursework covering AI methods with an applied assignment related to inventory tracking.,Completed assignments on core AI or machine learning concepts and discussed applications to inventory tracking.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_04,marketing analysis,Statistical Learning Methods,Completed formal coursework covering AI methods with an applied assignment related to marketing analysis.,Completed assignments on core AI or machine learning concepts and discussed applications to marketing analysis.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_05,recruiting support,AI for Business Decision-Making,Completed formal coursework covering AI methods with an applied assignment related to recruiting support.,Completed assignments on core AI or machine learning concepts and discussed applications to recruiting support.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_06,budget reconciliation,Machine Learning for Social Data,Completed formal coursework covering AI methods with an applied assignment related to budget reconciliation.,Completed assignments on core AI or machine learning concepts and discussed applications to budget reconciliation.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_07,operations reporting,Computational Modeling and AI,Completed formal coursework covering AI methods with an applied assignment related to operations reporting.,Completed assignments on core AI or machine learning concepts and discussed applications to operations reporting.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_08,survey analysis,Supervised Learning Applications,Completed formal coursework covering AI methods with an applied assignment related to survey analysis.,Completed assignments on core AI or machine learning concepts and discussed applications to survey analysis.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_09,vendor coordination,AI Tools for Information Systems,Completed formal coursework covering AI methods with an applied assignment related to vendor coordination.,Completed assignments on core AI or machine learning concepts and discussed applications to vendor coordination.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_10,appointment scheduling,Foundations of Machine Learning,Completed formal coursework covering AI methods with an applied assignment related to appointment scheduling.,Completed assignments on core AI or machine learning concepts and discussed applications to appointment scheduling.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_11,billing review,Practical AI in Organizations,Completed formal coursework covering AI methods with an applied assignment related to billing review.,Completed assignments on core AI or machine learning concepts and discussed applications to billing review.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_12,quality tracking,Machine Learning for Forecasting,Completed formal coursework covering AI methods with an applied assignment related to quality tracking.,Completed assignments on core AI or machine learning concepts and discussed applications to quality tracking.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_13,training support,Decision Analytics with AI Methods,Completed formal coursework covering AI methods with an applied assignment related to training support.,Completed assignments on core AI or machine learning concepts and discussed applications to training support.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_14,document review,Applied Natural Language Processing,Completed formal coursework covering AI methods with an applied assignment related to document review.,Completed assignments on core AI or machine learning concepts and discussed applications to document review.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_15,social media reporting,Intro to Intelligent Systems,Completed formal coursework covering AI methods with an applied assignment related to social media reporting.,Completed assignments on core AI or machine learning concepts and discussed applications to social media reporting.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_16,market research,AI and Data-Driven Problem Solving,Completed formal coursework covering AI methods with an applied assignment related to market research.,Completed assignments on core AI or machine learning concepts and discussed applications to market research.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_17,logistics coordination,Machine Learning in Practice,Completed formal coursework covering AI methods with an applied assignment related to logistics coordination.,Completed assignments on core AI or machine learning concepts and discussed applications to logistics coordination.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_18,client onboarding,Business Analytics with AI Tools,Completed formal coursework covering AI methods with an applied assignment related to client onboarding.,Completed assignments on core AI or machine learning concepts and discussed applications to client onboarding.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_19,event planning,Predictive Modeling and AI,Completed formal coursework covering AI methods with an applied assignment related to event planning.,Completed assignments on core AI or machine learning concepts and discussed applications to event planning.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
AI-related experience,ai_ml_coursework,Completed coursework in AI / machine learning,ai_20,compliance support,AI Applications for Operations,Completed formal coursework covering AI methods with an applied assignment related to compliance support.,Completed assignments on core AI or machine learning concepts and discussed applications to compliance support.,"Submitted a course project explaining model selection, evaluation, and practical use considerations."
